Years_of_Experience,Education_Level,Job_Complexity,Work_Hours_Per_Week,Company_Size,Salary (Euros),Buyer_Income (Euros),Job_Satisfaction
37,2,1,30,Large,117405.0,117272.54,Yes
5,2,9,33,Small,75087.0,70257.99,Yes
31,1,2,32,Large,107370.0,114926.97,No
20,1,5,31,Small,77369.0,66319.46,Yes
15,3,9,37,Small,92539.0,94893.96,Yes
20,2,4,52,Medium,96007.0,108722.39,No
10,1,3,38,Small,62830.0,56692.94,Yes
36,2,7,31,Small,116191.0,115202.78,No
35,3,6,43,Medium,124992.0,109671.31,Yes
34,1,8,43,Large,120161.0,124691.62,No
18,1,3,33,Small,75397.0,76539.98,Yes
19,1,5,59,Medium,79563.0,77351.92,No
17,3,10,35,Small,101448.0,102098.6,No
13,2,4,40,Medium,80086.0,89614.02,No
14,1,4,32,Large,78803.0,71623.12,Yes
30,3,4,37,Large,126255.0,108171.41,Yes
0,2,10,32,Medium,65567.0,72680.98,No
2,3,8,43,Medium,72113.0,73781.34,No
15,2,6,57,Medium,93235.0,104161.91,No
22,3,3,42,Large,100105.0,103016.41,No
10,2,10,42,Small,83755.0,91548.26,No
11,1,5,31,Large,78414.0,76759.62,Yes
9,2,6,42,Medium,79624.0,85592.45,No
31,3,5,58,Medium,122954.0,138189.53,No
15,3,6,48,Large,102151.0,104361.23,No
7,2,8,56,Medium,68783.0,62196.03,Yes
37,1,7,35,Large,128855.0,119917.53,Yes
11,1,5,45,Medium,65658.0,59722.08,Yes
23,2,10,31,Small,102015.0,94267.69,Yes
27,2,6,37,Small,102190.0,96255.28,Yes
7,3,4,46,Medium,71397.0,72577.92,Yes
27,1,9,52,Large,119088.0,122231.62,Yes
35,2,4,31,Small,110728.0,108286.44,Yes
25,1,1,39,Large,92178.0,95369.78,No
7,2,7,57,Medium,81237.0,71039.52,Yes
27,2,7,45,Large,114798.0,100601.67,Yes
27,1,4,35,Small,82873.0,74714.06,Yes
36,2,3,57,Large,126459.0,127144.82,No
35,2,8,31,Large,132653.0,121271.16,Yes
26,3,5,31,Medium,116265.0,108706.07,Yes
16,2,10,55,Medium,101041.0,98019.25,Yes
8,2,7,42,Medium,68996.0,75451.25,No
32,2,4,53,Small,106097.0,90623.67,Yes
19,3,4,44,Small,88307.0,92264.36,Yes
12,1,8,57,Medium,87319.0,91742.84,No
27,3,8,31,Medium,121873.0,132792.42,No
28,3,2,36,Small,105970.0,119727.65,No
12,1,2,32,Small,57602.0,49309.69,Yes
34,3,3,37,Small,107947.0,96735.1,Yes
5,1,3,52,Small,48720.0,54364.28,No
17,3,1,43,Medium,80414.0,79413.29,No
4,1,3,53,Small,47869.0,48796.57,No
24,2,6,59,Medium,97554.0,102325.19,Yes
1,3,8,52,Large,81503.0,85881.34,No
9,3,10,56,Large,105672.0,119358.86,No
29,3,6,51,Small,102470.0,117746.72,No
4,3,5,58,Large,69886.0,74501.78,No
32,2,4,36,Large,123347.0,115473.31,No
0,3,3,50,Large,68892.0,76740.57,No
17,2,4,36,Small,81556.0,70526.88,Yes
31,2,7,30,Small,118215.0,108677.92,Yes
10,2,1,46,Large,79141.0,88575.85,No
20,2,7,38,Medium,103498.0,95927.89,Yes
25,1,1,59,Large,90805.0,83195.12,Yes
24,1,2,50,Small,73598.0,65608.02,Yes
21,3,4,42,Small,95521.0,105811.81,No
26,1,1,50,Small,79295.0,79296.39,No
12,1,9,48,Large,93527.0,98434.17,Yes
32,3,6,50,Medium,128382.0,118332.25,Yes
33,3,1,48,Small,104199.0,112265.27,No
34,3,1,54,Small,102882.0,110906.97,No
0,1,6,54,Large,61903.0,58422.78,Yes
20,1,4,51,Medium,78230.0,76133.81,Yes
5,3,4,46,Large,74511.0,68021.62,Yes
27,2,6,52,Small,92728.0,105985.17,No
16,3,7,52,Medium,97761.0,102031.28,No
4,2,9,59,Medium,69372.0,78415.55,No
30,2,10,39,Small,117793.0,110845.06,Yes
4,3,5,39,Medium,66465.0,72085.76,No
37,3,9,33,Medium,135070.0,145842.86,No
2,3,4,37,Large,70145.0,74178.11,No
22,1,10,51,Small,100036.0,114010.2,No
36,2,2,49,Small,112072.0,108493.16,Yes
36,1,3,49,Small,108439.0,96425.61,Yes
9,1,1,47,Small,47252.0,49686.08,No
9,3,6,43,Small,66827.0,71424.23,No
18,1,6,47,Medium,89389.0,91401.88,Yes
16,3,1,57,Large,94080.0,85805.23,Yes
20,2,3,43,Small,79089.0,79194.72,Yes
13,3,5,49,Large,86944.0,82045.31,No
8,1,3,50,Large,70644.0,69106.78,Yes
0,1,10,53,Medium,68171.0,71140.91,No
12,3,3,44,Small,66441.0,71328.69,No
3,3,10,51,Medium,78284.0,71995.24,Yes
0,1,3,59,Small,41906.0,40715.77,Yes
39,2,5,33,Medium,126885.0,118098.02,Yes
31,2,5,42,Large,111549.0,101463.8,Yes
33,3,4,56,Small,107325.0,116449.36,No
27,2,1,52,Large,99143.0,111315.36,No
30,1,5,37,Large,104474.0,100406.79,Yes
7,3,10,47,Medium,89117.0,95834.97,Yes
38,1,5,41,Small,111092.0,124322.9,No
25,1,4,52,Large,107124.0,118247.46,No
33,2,6,43,Medium,119575.0,108196.72,Yes
2,3,10,31,Small,72680.0,82628.99,No
11,3,4,47,Small,75929.0,73119.85,Yes
0,2,7,53,Large,70809.0,67394.04,Yes
4,1,7,31,Small,50372.0,43759.64,Yes
29,1,2,40,Large,107362.0,106916.67,No
29,1,3,38,Small,89979.0,79424.83,Yes
16,1,1,41,Medium,68831.0,63638.52,Yes
22,3,8,46,Large,118118.0,111631.29,Yes
14,3,9,44,Large,105362.0,115123.57,No
36,2,4,54,Small,105787.0,117703.55,No
20,2,6,46,Small,80090.0,75343.86,Yes
13,3,9,55,Large,103621.0,114771.6,No
1,3,6,58,Small,64748.0,71687.0,No
10,1,9,55,Medium,74559.0,80478.63,No
38,1,4,47,Small,114426.0,102297.82,Yes
37,2,8,51,Medium,125373.0,132531.4,No
33,3,9,35,Medium,137059.0,155357.37,No
37,2,4,46,Medium,122478.0,129185.16,No
33,3,5,52,Medium,122283.0,116105.88,Yes
17,1,8,53,Medium,90778.0,90793.78,Yes
29,2,10,47,Small,118015.0,123174.32,No
14,2,6,37,Medium,83609.0,83874.13,Yes
26,3,7,38,Small,109677.0,97172.27,Yes
33,1,3,35,Medium,101340.0,95626.37,Yes
37,2,7,34,Large,134447.0,146643.87,No
32,1,8,41,Medium,108608.0,120383.87,No
23,2,10,54,Large,113183.0,100867.56,Yes
14,1,6,58,Medium,76846.0,87275.23,No
29,3,10,57,Medium,123498.0,117155.98,Yes
16,2,9,40,Medium,91968.0,96446.3,No
4,2,6,54,Large,69487.0,74736.57,Yes
28,1,9,30,Large,111952.0,122428.9,No
3,1,4,40,Medium,51409.0,58283.66,No
9,2,8,48,Small,76700.0,72395.28,Yes
16,3,4,38,Medium,82516.0,91390.76,No
9,1,2,56,Large,58510.0,52045.0,Yes
16,1,10,31,Medium,98684.0,104754.28,No
19,1,9,41,Large,108091.0,115937.68,No
23,2,5,33,Large,101438.0,106846.37,Yes
4,2,4,33,Large,61460.0,56893.18,Yes
33,2,2,47,Medium,113557.0,126265.5,No
5,2,1,44,Large,58432.0,52627.22,Yes
1,3,7,48,Large,79760.0,69079.37,Yes
12,3,6,42,Medium,79184.0,84349.92,No
10,2,2,48,Large,79882.0,79294.29,Yes
22,3,8,46,Medium,112591.0,124382.59,No
15,1,4,35,Large,87825.0,84752.81,Yes
30,1,8,45,Small,104616.0,94204.99,Yes
10,1,7,53,Small,67051.0,73818.64,No
15,2,5,41,Large,96511.0,97927.1,No
7,1,10,48,Small,63466.0,57548.35,Yes
3,3,10,34,Medium,86765.0,92501.49,No
39,2,8,46,Small,125098.0,125515.09,Yes
3,3,9,55,Large,78911.0,81380.43,Yes
24,1,5,52,Large,98951.0,97790.26,No
2,1,10,55,Medium,63539.0,69804.75,No
31,1,5,58,Large,109306.0,120112.95,No
2,2,2,30,Medium,46225.0,49128.7,No
26,3,5,57,Small,105256.0,92795.84,Yes
28,2,3,56,Small,87790.0,96714.39,No
31,2,7,54,Medium,123579.0,129919.08,Yes
18,1,10,53,Medium,93478.0,99003.23,No
20,2,5,52,Large,104747.0,100441.36,No
4,2,8,39,Small,69956.0,77915.86,No
17,1,1,44,Medium,70136.0,74878.0,No
27,2,3,52,Small,98849.0,87360.49,Yes
21,1,3,50,Medium,84223.0,81892.84,No
20,1,9,50,Small,85461.0,95367.14,No
5,1,5,40,Large,71393.0,61694.9,Yes
0,1,9,42,Small,48004.0,54648.95,No
4,2,9,34,Small,67506.0,71134.36,No
11,1,1,30,Small,49106.0,51041.4,Yes
25,1,2,53,Small,88033.0,81973.49,Yes
33,2,5,41,Small,107000.0,98936.22,Yes
13,2,4,40,Large,78119.0,88478.94,No
25,3,10,46,Medium,127854.0,120116.5,Yes
26,2,9,33,Small,111261.0,120456.9,No
8,2,7,44,Large,88458.0,85621.73,No
25,3,6,54,Small,101686.0,90681.16,Yes
21,2,7,59,Small,85887.0,73280.04,Yes
29,2,1,38,Medium,97700.0,98997.18,Yes
16,2,1,50,Small,70103.0,80109.06,No
25,2,8,49,Large,108896.0,104620.84,Yes
35,3,2,48,Large,122558.0,117307.33,Yes
0,2,10,48,Medium,69469.0,66219.76,Yes
7,2,9,41,Small,68747.0,69170.7,No
34,3,7,34,Large,137528.0,135079.93,No
14,1,6,39,Small,73550.0,81932.82,No
21,3,1,46,Small,77732.0,77860.74,Yes
13,1,1,34,Small,52804.0,52926.89,Yes
25,3,2,51,Medium,105048.0,93651.5,Yes
27,3,6,45,Small,110054.0,125992.23,No
22,2,6,36,Large,113449.0,104939.4,Yes
13,1,2,57,Small,58237.0,50783.2,Yes
23,2,1,38,Large,88349.0,92673.14,No
1,1,10,32,Small,54300.0,55853.52,Yes
25,3,5,44,Large,111954.0,109104.06,No
13,3,5,45,Large,94324.0,92122.26,Yes
6,1,2,47,Small,42917.0,46587.23,No
2,2,6,43,Small,56469.0,51314.16,Yes
22,2,9,32,Large,115950.0,127090.01,No
17,2,2,41,Medium,73628.0,76913.59,No
37,2,10,38,Small,134119.0,130858.69,Yes
34,3,2,57,Medium,122543.0,121000.01,No
14,3,3,36,Small,74545.0,69102.78,Yes
24,3,7,38,Small,99458.0,106980.44,No
36,3,6,42,Small,120704.0,121170.21,No
27,3,8,47,Small,108224.0,102407.65,Yes
9,2,8,34,Medium,82429.0,84804.19,Yes
38,2,6,42,Small,123241.0,141569.44,No
16,2,10,33,Large,110764.0,108612.82,Yes
38,2,3,31,Large,127748.0,143870.75,No
21,3,3,45,Medium,87465.0,83398.32,Yes
25,3,1,38,Small,95636.0,82860.93,Yes
24,3,7,38,Large,114291.0,104150.26,Yes
16,1,5,35,Medium,71889.0,70135.52,Yes
12,2,4,40,Small,65124.0,59646.45,Yes
19,2,10,51,Large,105021.0,89275.0,Yes
24,3,4,53,Large,114650.0,128923.98,No
3,2,4,51,Medium,57909.0,63883.11,No
9,2,6,30,Small,67893.0,72827.98,No
2,3,8,33,Small,68054.0,61272.04,Yes
17,1,8,42,Large,87671.0,77686.07,Yes
35,1,5,52,Large,124208.0,108095.92,Yes
21,1,6,42,Large,102742.0,109647.16,No
33,3,4,42,Small,107980.0,121870.81,No
7,2,9,31,Medium,79062.0,77414.41,No
39,3,8,38,Medium,132468.0,117332.5,Yes
18,3,10,53,Small,102368.0,102748.59,No
36,2,10,37,Medium,128262.0,122445.26,Yes
5,1,1,36,Large,57960.0,55783.46,Yes
25,1,2,33,Medium,81015.0,83963.88,No
33,3,9,47,Medium,134814.0,143659.88,No
5,1,8,32,Medium,68275.0,60299.19,Yes
36,3,3,57,Large,133593.0,114980.43,Yes
32,3,8,35,Small,125869.0,144535.26,No
21,2,1,41,Large,98205.0,90330.78,Yes
20,2,10,41,Small,97984.0,84868.76,Yes
5,2,4,50,Small,48406.0,43902.43,Yes
5,3,3,57,Small,58884.0,50739.6,Yes
3,2,6,37,Medium,62449.0,60422.11,No
29,1,7,51,Medium,105869.0,115473.49,No
10,1,4,51,Small,58982.0,56172.88,Yes
29,3,7,30,Small,115968.0,114026.12,No
30,3,9,33,Medium,119485.0,125779.0,Yes
23,2,2,50,Large,101195.0,101465.01,No
8,3,3,57,Small,61385.0,68041.2,No
2,3,5,40,Large,74001.0,82127.1,No
30,1,3,32,Medium,94118.0,80280.13,Yes
39,1,8,42,Small,126959.0,137549.14,No
36,2,10,54,Large,145841.0,144123.0,Yes
35,3,8,46,Large,138289.0,158569.38,No
23,3,8,51,Large,120003.0,119399.34,No
30,1,9,51,Medium,113428.0,129996.29,No
5,3,4,39,Medium,66368.0,71436.58,No
1,1,5,50,Large,55921.0,51703.52,Yes
19,2,5,41,Large,99377.0,100521.67,No
27,1,8,44,Medium,112948.0,129623.72,No
10,3,7,50,Large,95642.0,105900.48,No
3,2,9,39,Large,85619.0,75277.09,Yes
14,1,8,43,Medium,88043.0,93493.88,No
5,1,2,42,Large,62126.0,59247.94,No
29,2,10,34,Large,127766.0,108868.73,Yes
37,2,4,35,Large,131906.0,128086.57,No
1,1,6,53,Medium,51470.0,47374.34,Yes
14,3,2,31,Large,86858.0,95166.9,No
10,1,7,51,Medium,80586.0,76653.34,Yes
7,2,3,46,Medium,57103.0,62713.78,No
25,1,3,33,Small,86158.0,73249.76,Yes
4,2,2,43,Small,48704.0,45896.01,Yes
5,2,8,39,Large,74466.0,68683.68,Yes
25,3,6,32,Medium,112130.0,103167.47,Yes
3,2,1,54,Small,38839.0,33807.64,Yes
18,2,1,32,Large,79535.0,72069.63,Yes
19,3,7,44,Small,96590.0,98199.66,No
32,2,8,35,Small,114695.0,107516.05,Yes
19,3,5,46,Medium,94965.0,92611.62,Yes
11,3,5,41,Medium,87019.0,83804.52,No
0,2,4,51,Small,49283.0,54840.72,No
25,2,6,49,Small,90895.0,101946.9,No
13,1,6,53,Medium,82631.0,82456.41,No
37,3,3,58,Large,136728.0,129761.27,Yes
36,1,9,40,Medium,123824.0,109217.75,Yes
10,2,7,54,Small,76932.0,87396.36,No
35,1,1,33,Large,114090.0,99037.89,Yes
12,3,7,55,Small,88798.0,83407.52,No
2,1,5,57,Large,54173.0,50891.19,Yes
32,3,5,55,Small,110284.0,104341.94,Yes
5,2,2,35,Large,59402.0,53419.39,Yes
9,2,4,30,Large,74095.0,80389.25,No
4,3,6,49,Small,64531.0,57222.82,Yes
22,2,10,52,Large,119004.0,123820.33,Yes
9,2,7,57,Medium,81929.0,72683.62,Yes
1,2,5,45,Small,58461.0,50928.93,Yes
12,2,9,44,Medium,89443.0,100429.18,No
39,3,3,46,Small,123337.0,111871.42,Yes
1,1,1,37,Large,43256.0,47424.8,No
19,1,4,57,Large,88223.0,89404.24,Yes
0,2,9,55,Large,78250.0,68340.18,Yes
36,1,4,41,Small,111862.0,127146.2,No
8,1,2,56,Medium,63733.0,58894.92,Yes
16,2,10,51,Medium,93707.0,103817.39,No
8,2,5,50,Small,56707.0,51072.76,Yes
10,1,3,39,Small,56878.0,62917.47,No
14,3,9,56,Medium,103731.0,88583.02,Yes
23,2,4,44,Medium,92227.0,92552.94,Yes
37,3,6,59,Medium,137823.0,148963.62,No
34,1,2,38,Medium,109701.0,124010.25,No
29,2,6,31,Small,109899.0,123390.27,No
30,3,3,34,Small,101024.0,110710.93,No
4,2,9,35,Large,87893.0,98128.79,No
13,1,2,36,Medium,67899.0,61772.2,Yes
10,3,9,50,Large,91784.0,85841.47,Yes
8,1,5,54,Small,55213.0,51717.5,Yes
33,1,8,30,Small,115998.0,111719.55,Yes
11,2,2,52,Large,80858.0,78270.24,No
34,3,6,55,Medium,118957.0,120547.05,Yes
34,1,3,36,Medium,111123.0,99784.45,Yes
0,1,10,49,Medium,59887.0,63322.96,No
39,3,5,54,Medium,128554.0,115733.3,Yes
21,1,8,59,Large,107258.0,101154.22,Yes
28,1,10,41,Large,122798.0,122921.23,No
7,3,1,45,Small,64636.0,70384.22,No
10,3,5,45,Medium,76058.0,81522.07,No
36,3,3,40,Medium,124072.0,129489.02,No
13,3,4,50,Medium,76361.0,68475.35,Yes
29,2,2,33,Large,104047.0,105515.48,No
34,3,9,42,Medium,132426.0,116036.16,Yes
20,2,3,36,Large,90075.0,86761.05,No
36,2,2,33,Medium,114867.0,111886.77,Yes
4,2,10,44,Medium,70618.0,60868.72,Yes
18,1,9,48,Small,82098.0,76531.46,Yes
13,2,7,38,Medium,77901.0,88549.66,No
25,2,6,40,Medium,101244.0,115022.27,No
3,1,1,37,Small,42476.0,40594.23,Yes
24,1,5,30,Large,99819.0,86136.81,Yes
24,1,3,52,Large,91766.0,82931.55,Yes
17,3,1,54,Medium,77945.0,75424.67,Yes
39,1,4,53,Large,126873.0,143916.35,No
7,1,2,37,Medium,59093.0,52732.21,Yes
38,2,2,42,Small,111249.0,120043.76,No
39,1,3,51,Small,115917.0,102308.9,Yes
13,3,8,56,Medium,90716.0,103813.33,No
31,1,8,33,Small,109772.0,105873.44,No
37,3,7,37,Small,119522.0,129390.97,No
32,1,6,32,Medium,109315.0,104152.85,No
22,1,9,58,Medium,103973.0,107955.23,No
14,1,4,38,Small,62466.0,56694.44,Yes
32,1,1,58,Large,104649.0,93535.94,Yes
24,3,8,31,Large,118516.0,134091.28,No
16,3,7,31,Medium,91010.0,102413.02,No
32,2,7,57,Medium,119744.0,133663.12,No
1,3,3,42,Large,68889.0,71481.3,No
13,1,4,44,Small,64469.0,70431.12,No
39,2,10,57,Large,148367.0,129184.79,Yes
39,2,9,52,Large,137357.0,130549.14,Yes
38,2,6,41,Large,128941.0,121734.61,Yes
5,1,5,55,Large,65263.0,67918.79,No
5,3,3,33,Medium,61575.0,58914.18,Yes
2,1,9,55,Medium,59264.0,53014.73,Yes
6,2,5,37,Small,63458.0,65294.48,No
7,1,5,38,Small,50153.0,54883.19,No
14,1,4,52,Small,66679.0,64321.03,Yes
28,3,4,34,Small,101137.0,89979.63,Yes
32,3,1,53,Large,112317.0,102096.88,Yes
29,2,7,49,Medium,117746.0,108472.91,Yes
38,1,9,47,Medium,122347.0,115002.42,Yes
26,1,3,40,Small,83309.0,86877.83,No
35,3,2,44,Small,103607.0,106744.6,No
28,1,3,57,Large,99452.0,105302.16,No
37,1,1,51,Large,107864.0,103414.67,Yes
32,1,6,38,Small,105017.0,115224.58,No
36,3,7,46,Medium,133727.0,121855.56,Yes
26,2,2,56,Medium,97021.0,96119.89,No
32,2,8,55,Medium,116271.0,126768.13,No
3,1,6,41,Small,49919.0,45129.15,Yes
21,2,4,36,Medium,87762.0,77490.24,Yes
1,3,5,39,Large,76034.0,84785.91,No
9,3,8,54,Large,98322.0,93688.96,Yes
4,2,3,55,Small,46877.0,49462.78,No
9,2,3,54,Large,70422.0,60394.23,Yes
32,1,4,39,Small,95506.0,100951.19,No
37,2,1,56,Medium,118812.0,112257.19,Yes
12,1,9,42,Medium,81363.0,70519.12,Yes
30,1,8,48,Medium,117699.0,121576.46,No
35,3,8,40,Large,137054.0,126396.84,Yes
23,3,10,42,Small,111067.0,107295.41,Yes
14,3,6,50,Medium,93288.0,81549.97,Yes
28,3,7,37,Small,103708.0,92730.4,Yes
7,2,6,37,Medium,72770.0,68359.64,Yes
4,3,9,33,Large,89355.0,78357.89,Yes
28,2,3,44,Large,101625.0,114150.07,No
3,3,3,57,Small,63763.0,54314.22,Yes
11,2,3,40,Large,80993.0,80600.84,No
1,1,10,40,Large,75354.0,66837.06,Yes
26,2,3,30,Small,91001.0,85750.58,Yes
30,2,9,46,Medium,113716.0,128250.94,No
35,3,4,44,Large,126051.0,113257.88,Yes
35,2,7,49,Small,111697.0,127306.62,No
25,1,9,35,Large,118691.0,108215.13,Yes
26,1,7,53,Large,104106.0,111650.54,No
4,3,9,51,Large,87670.0,88897.66,Yes
19,1,3,57,Large,79672.0,88861.66,No
10,2,4,54,Small,68002.0,69103.49,No
9,1,8,44,Small,74537.0,75309.78,No
39,3,6,38,Small,125834.0,114337.48,Yes
37,2,5,43,Large,135804.0,122205.78,Yes
5,3,4,47,Large,75483.0,84914.36,No
7,2,8,55,Large,77723.0,73708.72,No
22,1,1,46,Small,73890.0,71054.45,Yes
25,3,9,47,Large,128033.0,138012.8,No
11,3,1,34,Medium,64524.0,61404.07,Yes
25,2,8,49,Large,121841.0,138364.92,No
12,3,4,49,Medium,88048.0,94332.72,No
39,2,9,38,Large,150286.0,154678.68,Yes
17,2,5,40,Small,87692.0,97712.44,No
24,2,3,53,Large,102732.0,88851.03,Yes
32,2,9,51,Medium,117914.0,109320.29,Yes
39,1,9,30,Medium,135701.0,134277.62,No
11,2,4,47,Large,73906.0,67852.62,Yes
35,3,4,35,Medium,115124.0,123547.8,No
3,1,8,56,Medium,58646.0,66021.46,No
4,3,2,31,Small,60580.0,59194.6,Yes
36,1,9,44,Large,139706.0,133089.49,Yes
7,2,6,58,Large,73531.0,83712.49,No
27,1,9,55,Large,121667.0,119654.11,No
30,1,8,50,Medium,118038.0,117650.19,Yes
8,3,7,43,Large,93217.0,89068.37,Yes
28,3,1,34,Large,116516.0,130831.68,No
